Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,marketcap,price
500408,,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.00,INE670A01012,IT Software Products,Equity,"5,469",878.25
506109,,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,Active,B ,5.00,INE727B01026,IT Software Products,Equity,134.23,43.10
512093,,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.,Active,X ,2.00,INE234B01023,IT Software Products,Equity,6.12,0.52
517344,,MINDTECK,MINDTECK (INDIA) LTD.,Active,B ,10.00,INE110B01017,IT Software Products,Equity,36.00,14.05
517447,,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,Active,B ,5.00,INE165B01029,IT Software Products,Equity,39.59,15.40
519602,,KELLTONTEC,Kellton Tech Solutions Ltd.,Active,B ,5.00,INE164B01022,IT Software Products,Equity,125.78,13.05
523704,,MASTEK,MASTEK LTD.,Active,B ,5.00,INE759A01021,IT Software Products,Equity,781.99,322.40
531209,,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,Active,B ,10.00,INE096B01018,IT Software Products,Equity,705.98,243.10
532173,,CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LTD.,Active,B ,10.00,INE214A01019,IT Software Products,Equity,85.85,31.20
532307,,MELSTAR,MELSTAR INFORMATION TECHNOLOGIES LTD.,Active,Z ,10.00,INE817A01019,IT Software Products,Equity,5.43,3.80
532326,,INTENTECH,INTENSE TECHNOLOGIES LTD.-$,Active,B ,2.00,INE781A01025,IT Software Products,Equity,34.62,15.45
532348,,SUBEX,SUBEX LTD.,Active,B ,10.00,INE754A01014,IT Software Products,Equity,255.71,4.55
532368,,BCG,Brightcom Group Ltd,Active,B ,2.00,INE425B01027,IT Software Products,Equity,200.03,4.20
532386,,CALSOFT,CALIFORNIA SOFTWARE CO.LTD.,Active,B ,10.00,INE526B01014,IT Software Products,Equity,12.49,10.10
532398,,UMESLTD,Usha Martin Education & Solutions Limited,Active,B ,1.00,INE240C01028,IT Software Products,Equity,2.51,0.95
532408,,MEGASOFT,MEGASOFT LTD.,Active,B ,10.00,INE933B01012,IT Software Products,Equity,29.22,6.60
532528,,DATAMATICS,DATAMATICS GLOBAL SERVICES LTD.,Active,B ,5.00,INE365B01017,IT Software Products,Equity,230.49,39.10
532668,,AURIONPRO,AURIONPRO SOLUTIONS LTD.,Active,B ,10.00,INE132H01018,IT Software Products,Equity,81.66,34.55
532790,,TANLA,TANLA SOLUTIONS LTD.,Active,B ,1.00,INE483C01032,IT Software Products,Equity,794.78,55.25
532801,,CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Active,B ,10.00,INE627H01017,IT Software Products,Equity,24.83,12.65
533339,,ZENTEC,ZEN TECHNOLOGIES LTD.,Active,B ,1.00,INE251B01027,IT Software Products,Equity,290.89,37.70
538835,,INTELLECT,Intellect Design Arena Ltd,Active,A ,5.00,INE306R01017,IT Software Products,Equity,"1,026",77.55
539678,,QUICKHEAL,Quick Heal Technologies Ltd,Active,B ,10.00,INE306L01010,IT Software Products,Equity,546.05,85.05
590051,,SAKSOFT,SAKSOFT LTD.,Active,B ,10.00,INE667G01015,IT Software Products,Equity,149.43,142.65
590057,,PROSEED,Proseed India Ltd,Active,B ,1.00,INE217G01027,IT Software Products,Equity,1.92,0.20
