Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,marketcap,price
500209,,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity,638.00,"2,71,780.77"
500463,,AGCNET,AGC Networks Limited,Active,T ,10.00,INE676A01019,IT Consulting & Software,Equity,335.20,997.04
504067,,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,IT Consulting & Software,Equity,102.85,"2,318.00"
504351,,EMPOWER,EMPOWER INDIA LTD.,Active,X ,1.00,INE507F01023,IT Consulting & Software,Equity,0.19,22.11
504375,,SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.,Active,P ,10.00,INE459E01012,IT Consulting & Software,Equity,110.00,1.65
505504,,SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.,Active,P ,10.00, ,IT Consulting & Software,Equity,15.55,1.09
507685,,WIPRO,WIPRO LTD.,Active,A ,2.00,INE075A01022,IT Consulting & Software,Equity,195.60,"1,11,751.21"
512175,,VAMA,VAMA INDUSTRIES LTD.,Active,X ,2.00,INE685D01022,IT Consulting & Software,Equity,6.38,33.52
517536,,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,Active,B ,10.00,INE229A01017,IT Consulting & Software,Equity,48.15,77.24
517562,,TRIGYN,TRIGYN TECHNOLOGIES LTD.,Active,B ,10.00,INE948A01012,IT Consulting & Software,Equity,26.75,82.35
526299,,MPHASIS,MPHASIS LTD.,Active,A ,10.00,INE356A01018,IT Consulting & Software,Equity,709.15,"13,227.48"
526433,,ASMTEC,ASM TECHNOLOGIES LTD.,Active,X ,10.00,INE867C01010,IT Consulting & Software,Equity,70.00,35.00
526881,,63MOONS,63 Moons Technologies Ltd,Active,B ,2.00,INE111B01023,IT Consulting & Software,Equity,69.30,319.32
530713,,AJEL,AJEL LTD.,Active,Z ,10.00,INE229B01015,IT Consulting & Software,Equity,3.69,3.97
531370,,SPARCSYS,SPARC SYSTEMS LTD.,Active,X ,10.00,INE960B01015,IT Consulting & Software,Equity,3.34,1.63
531439,,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Active,B ,10.00,INE805A01014,IT Consulting & Software,Equity,5.87,11.03
531533,,ECOM,E.COM INFOTECH (I) LTD.,Active,XT,10.00,INE578B01015,IT Consulting & Software,Equity,3.95,1.99
531616,,STARCOM,Starcom Information Technology Ltd,Active,XT,10.00,INE347I01010,IT Consulting & Software,Equity,95.00,47.51
531980,,SENINFO,Senthil Infotek Ltd,Active,XT,10.00,INE564B01015,IT Consulting & Software,Equity,4.90,2.47
532129,,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,Active,A ,2.00,INE093A01033,IT Consulting & Software,Equity,289.05,"8,624.80"
532172,,ADROITINFO,Adroit Infotech Ltd,Active,B ,10.00,INE737B01033,IT Consulting & Software,Equity,5.18,9.46
532175,,CYIENT,Cyient Limited,Active,A ,5.00,INE136B01020,IT Consulting & Software,Equity,349.55,"3,844.04"
532221,,SONATSOFTW,SONATA SOFTWARE LTD.,Active,A ,1.00,INE269A01021,IT Consulting & Software,Equity,260.40,"2,738.35"
532268,,ACCELYA,Accelya Solutions India Ltd,Active,B ,10.00,INE793A01012,IT Consulting & Software,Equity,976.00,"1,456.80"
532281,,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2.00,INE860A01027,IT Consulting & Software,Equity,496.50,"1,34,733.47"
532341,,IZMO,IZMO Limited-$,Active,B ,10.00,INE848A01014,IT Consulting & Software,Equity,18.00,23.52
532365,,DSSL,DYNACONS SYSTEMS & SOLUTIONS LTD.,Active,B ,10.00,INE417B01040,IT Consulting & Software,Equity,18.85,17.29
532370,,RAMCOSYS,RAMCO SYSTEMS LTD.,Active,B ,10.00,INE246B01019,IT Consulting & Software,Equity,94.75,289.97
532400,,BSOFT,Birlasoft Ltd,Active,A ,2.00,INE836A01035,IT Consulting & Software,Equity,74.45,"2,060.10"
