"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"20MICRONS","20 Microns Limited","EQ","06-OCT-2008","5","1","INE144J01027","5","94.74","26.85"
"21STCENMGM","21st Century Management Services Limited","EQ","03-MAY-1995","10","1","INE253B01015","10","12.44","11.85"
"3IINFOTECH","3i Infotech Limited","EQ","22-APR-2005","10","1","INE748C01020","10","282.91","1.75"
"3MINDIA","3M India Limited","EQ","13-AUG-2004","10","1","INE470A01017","10","23,310","20,683"
"3PLAND","3P Land Holdings Limited","EQ","19-JUL-1995","2","1","INE105C01023","2","7.83","4.35"
"5PAISA","5Paisa Capital Limited","EQ","16-NOV-2017","10","1","INE618L01018","10","380.77","149.45"
"63MOONS","63 moons technologies limited","EQ","20-JUN-2005","2","1","INE111B01023","2","350.59","76.05"
"A2ZINFRA","A2Z Infra Engineering Limited","EQ","23-DEC-2010","10","1","INE619I01012","10","82.78","4.70"
"AARTIDRUGS","Aarti Drugs Limited","EQ","19-SEP-2003","10","1","INE767A01016","10","1,426","612.15"
"AARTIIND","Aarti Industries Limited","EQ","08-FEB-1995","5","1","INE769A01020","5","16,226","931.25"
"AARVEEDEN","Aarvee Denims & Exports Limited","EQ","21-NOV-2006","10","1","INE273D01019","10","26.51","11.30"
"AAVAS","Aavas Financiers Limited","EQ","08-OCT-2018","10","1","INE216P01012","10","14,732","1,881"
"ABAN","Aban Offshore Limited","EQ","29-MAR-1995","2","1","INE421A01028","2","100.39","17.20"
"ABB","ABB India Limited","EQ","08-FEB-1995","2","1","INE117A01022","2","23,510","1,109"
"ABBOTINDIA","Abbott India Limited","EQ","08-JAN-2010","10","1","INE358A01014","10","31,157","14,662"
"ABCAPITAL","Aditya Birla Capital Limited","EQ","01-SEP-2017","10","1","INE674K01013","10","15,731","68.00"
"ABFRL","Aditya Birla Fashion and Retail Limited","EQ","17-JUL-2013","10","1","INE647O01011","10","18,211","235.30"
"ABMINTLTD","ABM International Limited","BE","14-JUN-2016","10","1","INE251C01017","10","15.82","13.45"
"ACC","ACC Limited","EQ","20-NOV-1996","10","1","INE012A01025","10","22,825","1,215"
"ACCELYA","Accelya Solutions India Limited","EQ","01-DEC-1999","10","1","INE793A01012","10","1,502","1,006"
"ACE","Action Construction Equipment Limited","EQ","26-SEP-2006","2","1","INE731H01025","2","672.39","59.25"
"ADANIENT","Adani Enterprises Limited","EQ","04-JUN-1997","1","1","INE423A01024","1","21,529","195.75"
"ADANIGAS","Adani Gas Limited","EQ","05-NOV-2018","1","1","INE399L01023","1","13,176","119.80"
"ADANIGREEN","Adani Green Energy Limited","EQ","18-JUN-2018","10","1","INE364U01010","10","20,465","130.85"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","27-NOV-2007","2","1","INE742F01042","2","65,057","320.20"
"ADANIPOWER","Adani Power Limited","EQ","20-AUG-2009","10","1","INE814H01011","10","15,891","41.20"
"ADANITRANS","Adani Transmission Limited","EQ","31-JUL-2015","10","1","INE931S01010","10","22,508","204.65"
"ADFFOODS","ADF Foods Limited","EQ","15-SEP-2010","10","1","INE982B01019","10","443.40","221.45"
"ADHUNIKIND","Adhunik Industries Limited","EQ","01-JUL-2016","10","1","INE452L01012","10","114.10","24.40"
"ADLABS","Adlabs Entertainment Limited","EQ","06-APR-2015","10","1","INE172N01012","10","25.98","2.95"
"ADORWELD","Ador Welding Limited","EQ","10-MAY-1995","10","1","INE045A01017","10","378.01","277.95"
"ADROITINFO","Adroit Infotech Limited","EQ","13-AUG-1997","10","1","INE737B01033","10","11.05","6.05"
"ADSL","Allied Digital Services Limited","EQ","25-JUL-2007","5","1","INE102I01027","5","82.84","16.50"
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","25-JUN-2007","2","1","INE199C01026","2","209.14","45.25"
"ADVENZYMES","Advanced Enzyme Technologies Limited","EQ","01-AUG-2016","2","1","INE837H01020","2","1,536","137.50"
"AEGISCHEM","Aegis Logistics Limited","EQ","03-APR-1996","1","1","INE208C01025","1","6,676","196.55"
"AFFLE","Affle (India) Limited","BE","08-AUG-2019","10","1","INE00WC01019","10","3,804","1,492"
"AGARIND","Agarwal Industrial Corporation Limited","EQ","26-MAY-2014","10","1","INE204E01012","10","65.71","64.05"
"AGCNET","AGC Networks Limited","BE","22-JUL-2003","10","1","INE676A01019","10","901.26","303.00"
"AGRITECH","Agri-Tech (India) Limited","EQ","28-JAN-2014","10","1","INE449G01018","10","16.39","27.60"
"AGROPHOS","Agro Phos India Limited","EQ","08-MAR-2019","10","1","INE740V01019","10","21.19","10.45"
