Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500408,,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.00,INE670A01012,IT Software Products,Equity
505506,,AXONVL,Axon Ventures Ltd,Active,X ,10.00,INE663D01011,IT Software Products,Equity
506109,,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,Active,B ,5.00,INE727B01026,IT Software Products,Equity
506935,,CONTCHM,CONTINENTAL CHEMICALS LTD.,Active,P ,10.00,INE423K01015,IT Software Products,Equity
508867,,NEWMKTADV,NEW MARKETS ADVISORY LTD.,Active,XT,10.00,INE800K01014,IT Software Products,Equity
509040,,NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,Active,X ,10.00,INE040F01033,IT Software Products,Equity
509051,,INDINFO,INDIAN INFOTECH & SOFTWARE LTD.,Active,XT,1.00,INE300B01022,IT Software Products,Equity
511525,,PANINDIAC,PAN INDIA CORPORATION LTD.,Active,XT,10.00,INE376A01032,IT Software Products,Equity
511658,,NETTLINX,NETTLINX LTD.,Active,X ,10.00,INE027D01019,IT Software Products,Equity
512093,,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.,Active,X ,2.00,INE234B01023,IT Software Products,Equity
512149,,AVANCE,AVANCE TECHNOLOGIES LTD.,Active,X ,10.00,INE758A01056,IT Software Products,Equity
512379,,CRESSAN,CRESSANDA SOLUTIONS LTD.,Active,X ,1.00,INE716D01033,IT Software Products,Equity
517344,,MINDTECK,MINDTECK (INDIA) LTD.,Active,B ,10.00,INE110B01017,IT Software Products,Equity
517429,,ATHENAGLO,Athena Global Technologies Ltd-$,Active,X ,10.00,INE576B01019,IT Software Products,Equity
517447,,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,Active,B ,5.00,INE165B01029,IT Software Products,Equity
517477,,ELNET,ELNET TECHNOLOGIES LTD.-$,Active,X ,10.00,INE033C01019,IT Software Products,Equity
519602,,KELLTONTEC,Kellton Tech Solutions Ltd.,Active,B ,5.00,INE164B01022,IT Software Products,Equity
523704,,MASTEK,MASTEK LTD.,Active,B ,5.00,INE759A01021,IT Software Products,Equity
526443,,DATASOFT,DATASOFT APPLICATION SOFTWARE (INDIA) LTD.,Active,X ,10.00,INE072B01019,IT Software Products,Equity
530175,,ODYSSEY,ODYSSEY TECHNOLOGIES LTD.-$,Active,X ,10.00,INE213B01019,IT Software Products,Equity
530565,,SSLFINANCE,ARCHANA SOFTWARE LTD.,Active,X ,10.00,INE149B01015,IT Software Products,Equity
530595,,TELECANOR,TELECANOR GLOBAL LTD.,Active,X ,10.00,INE381G01013,IT Software Products,Equity
